,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
15920,18766,city_10,0.895,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,2,11,0.0
14925,31636,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,24,0.0
16231,4355,city_75,0.939,Male,No relevent experience,Full time course,Masters,STEM,4,5000-9999,Public Sector,never,6,0.0
17622,13396,city_21,0.624,Female,Has relevent experience,Full time course,Graduate,STEM,19,,,1,28,1.0
15103,21226,city_160,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,12,1.0
6473,29306,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,,2,14,0.0
8141,32317,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,,NGO,1,31,0.0
13934,33015,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,2,42,0.0
6950,9232,city_40,0.7759999999999999,,Has relevent experience,Part time course,Graduate,STEM,4,50-99,Pvt Ltd,1,8,0.0
17574,21498,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,19,<10,Pvt Ltd,>4,7,0.0
13333,30740,city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,8,,,1,50,0.0
3,33241,city_115,0.789,,No relevent experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,52,1.0
793,33126,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,25,0.0
11381,1867,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,1,50,1.0
4156,31106,city_160,0.92,,No relevent experience,no_enrollment,Graduate,Arts,3,50-99,Pvt Ltd,never,130,0.0
12437,21664,city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,1,28,1.0
17784,3703,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,3,52,0.0
11887,26549,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,,Public Sector,1,164,0.0
821,14295,city_160,0.92,Male,Has relevent experience,no_enrollment,Primary School,,9,<10,NGO,2,157,0.0
7345,25088,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,1,7,1.0
109,5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,4,46,0.0
10706,19157,city_103,0.92,Male,Has relevent experience,Full time course,Masters,STEM,7,10000+,Pvt Ltd,1,30,1.0
17465,11427,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,119,0.0
15105,8092,city_45,0.89,,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,111,0.0
10495,4585,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,24,0.0
10836,28978,city_19,0.682,Male,Has relevent experience,no_enrollment,Masters,STEM,20,,,1,61,1.0
14009,21170,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,3,14,1.0
4750,23772,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,4,6,0.0
3051,12031,city_24,0.698,Other,Has relevent experience,no_enrollment,Graduate,Business Degree,5,,,1,21,0.0
2037,20182,city_100,0.887,Male,No relevent experience,no_enrollment,Phd,Business Degree,>20,10000+,Public Sector,,14,0.0
13300,31161,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,1,100-500,Pvt Ltd,never,27,1.0
5209,30163,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,25,0.0
15871,17028,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,4,124,0.0
6349,16063,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,3,192,0.0
13520,22956,city_40,0.7759999999999999,Male,Has relevent experience,,Graduate,STEM,5,50-99,,1,98,0.0
1370,6372,city_13,0.8270000000000001,Male,No relevent experience,no_enrollment,Masters,STEM,7,<10,,1,44,0.0
11481,2339,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,17,,,1,43,0.0
6802,3949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,<10,Pvt Ltd,3,80,0.0
15137,7688,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,4,44,0.0
12383,13291,city_74,0.579,,Has relevent experience,no_enrollment,Graduate,STEM,<1,10/49,Pvt Ltd,1,49,1.0
3919,23160,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,4,,,never,33,0.0
13002,8091,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,3,55,0.0
16825,281,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Funded Startup,4,11,0.0
7464,12385,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,1,10/49,Pvt Ltd,1,35,1.0
12708,4892,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,5000-9999,Pvt Ltd,never,174,0.0
4538,9284,city_67,0.855,,No relevent experience,Full time course,Graduate,STEM,5,,,3,54,1.0
6234,4952,city_16,0.91,Male,No relevent experience,no_enrollment,Phd,Other,>20,,Public Sector,2,10,0.0
11891,5897,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,78,0.0
2799,17687,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,30,1.0
18375,2838,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,1,73,0.0
2216,25396,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,1,23,0.0
2096,22182,city_176,0.764,,Has relevent experience,Part time course,Masters,STEM,3,,,3,43,1.0
1153,22946,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,1,63,0.0
16725,14899,city_31,0.807,Male,No relevent experience,no_enrollment,Masters,STEM,10,,,1,30,1.0
12405,26855,city_136,0.897,Male,No relevent experience,Full time course,Masters,STEM,3,,,1,32,1.0
207,18272,city_160,0.92,,Has relevent experience,Full time course,Graduate,Business Degree,>20,,,>4,90,1.0
13872,7503,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,1,12,0.0
13792,1729,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,,2,28,0.0
6714,19522,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,13,,Pvt Ltd,4,8,0.0
4004,12145,city_57,0.866,,No relevent experience,no_enrollment,High School,,<1,,,never,182,0.0
1549,28474,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,4,19,0.0
781,15241,city_57,0.866,Male,Has relevent experience,no_enrollment,Graduate,Other,9,100-500,,2,4,0.0
14980,29933,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Business Degree,4,,,1,43,1.0
5238,32410,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,86,0.0
1985,25053,city_73,0.754,,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,4,47,1.0
1480,933,city_36,0.893,Male,No relevent experience,Part time course,High School,,5,50-99,Pvt Ltd,1,32,0.0
1636,26891,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,4,68,0.0
5119,29411,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,36,0.0
12255,20479,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,,2,13,1.0
18085,8575,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,3,,,never,43,0.0
18491,24440,city_104,0.924,Male,No relevent experience,Full time course,High School,,3,10/49,,1,155,0.0
4007,13368,city_19,0.682,,Has relevent experience,,Graduate,STEM,>20,10000+,Pvt Ltd,1,86,0.0
13476,19377,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,1,3,0.0
65,5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0
1989,29062,city_21,0.624,Male,No relevent experience,Full time course,High School,,5,,,never,47,1.0
17069,143,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10/49,Pvt Ltd,never,47,1.0
390,11751,city_138,0.836,Male,No relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,never,58,0.0
10641,3861,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,2,98,0.0
3292,7625,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,22,1.0
4187,7143,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,4,100-500,Pvt Ltd,1,17,0.0
11818,30025,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,2,82,0.0
1781,4705,city_67,0.855,Female,Has relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Pvt Ltd,3,66,0.0
2033,27485,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,4,39,0.0
7127,27573,city_75,0.939,Male,No relevent experience,Full time course,High School,,3,<10,Pvt Ltd,1,4,0.0
9441,20127,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,20,10000+,NGO,>4,28,0.0
1635,14043,city_158,0.7659999999999999,,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,97,1.0
5590,20896,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,84,0.0
10067,4093,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,2,48,0.0
18124,30239,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Funded Startup,1,84,0.0
12809,20762,city_11,0.55,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1,2,0.0
3833,14502,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,>4,30,0.0
4821,32307,city_115,0.789,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,80,0.0
8508,20586,city_123,0.738,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,,,1,29,1.0
4645,9477,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,2,10/49,Pvt Ltd,1,218,0.0
17464,31945,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,19,10/49,Pvt Ltd,>4,3,0.0
5943,33031,city_114,0.926,Male,No relevent experience,Full time course,High School,,5,,,1,61,0.0
15991,21352,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,2,6,1.0
1945,32562,city_126,0.479,,Has relevent experience,no_enrollment,,,18,,,never,61,1.0
15863,23610,city_160,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,10,100-500,Public Sector,1,87,1.0
11585,25162,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,12,,,1,135,0.0
17034,12510,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,112,1.0
18713,28811,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,1,134,1.0
12195,1654,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,1,12,0.0
1992,31237,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,4,50-99,Pvt Ltd,1,151,1.0
18715,7523,city_67,0.855,Male,No relevent experience,Full time course,High School,,7,,,never,89,0.0
2716,17812,city_76,0.698,Male,Has relevent experience,Part time course,Masters,STEM,7,,,3,56,1.0
18002,10764,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,2,188,0.0
5357,3810,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,152,0.0
7853,2234,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,1,81,0.0
648,11085,city_173,0.878,Male,No relevent experience,no_enrollment,Graduate,No Major,14,50-99,NGO,3,45,0.0
138,30488,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,2,,,1,20,0.0
14500,17235,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,15,,,3,83,1.0
7705,2608,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,1,116,1.0
3314,12637,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,1,151,1.0
12607,19982,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,76,0.0
3021,14298,city_114,0.926,Male,Has relevent experience,Part time course,Graduate,Business Degree,7,100-500,Pvt Ltd,2,15,0.0
131,24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0.0
14158,16564,city_16,0.91,Other,Has relevent experience,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,1,17,0.0
5982,22018,city_91,0.691,Male,Has relevent experience,Full time course,Graduate,STEM,6,,,1,60,1.0
6523,26567,city_13,0.8270000000000001,Male,Has relevent experience,Part time course,High School,,9,100-500,Pvt Ltd,1,31,0.0
16346,17807,city_114,0.926,Male,Has relevent experience,no_enrollment,,,>20,100-500,Pvt Ltd,>4,55,0.0
833,20828,city_61,0.913,,Has relevent experience,no_enrollment,Graduate,STEM,3,,,1,28,0.0
16830,13281,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,9,,,never,144,0.0
14207,12403,city_42,0.563,Female,No relevent experience,Full time course,Graduate,STEM,4,,,2,148,0.0
7263,8210,city_97,0.925,Male,No relevent experience,Full time course,Graduate,STEM,3,,,never,16,0.0
7425,5717,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,1,82,0.0
41,13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,4,10/49,Pvt Ltd,2,36,0.0
18386,12543,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Public Sector,>4,29,0.0
8375,14097,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,16,5000-9999,Pvt Ltd,1,51,0.0
4606,9074,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,3,48,1.0
2382,30926,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,<10,Pvt Ltd,>4,18,0.0
11431,19657,city_136,0.897,Male,No relevent experience,Full time course,Masters,STEM,6,1000-4999,Public Sector,never,83,0.0
13882,13795,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,>4,66,0.0
285,30854,city_43,0.516,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,1,11,0.0
5689,23811,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,Business Degree,11,,,1,17,1.0
1150,11933,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,2,,,1,46,1.0
4621,33228,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,10,,,>4,43,0.0
678,10554,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,1000-4999,Pvt Ltd,4,22,0.0
10634,15875,city_104,0.924,Male,No relevent experience,Full time course,Graduate,STEM,3,,,2,4,0.0
18602,25537,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,>20,1000-4999,Pvt Ltd,2,83,0.0
18427,23950,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,Humanities,5,50-99,Pvt Ltd,1,12,0.0
12385,15010,city_18,0.8240000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,>4,28,1.0
7225,8313,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,3,40,0.0
16784,10486,city_33,0.448,,No relevent experience,Full time course,Graduate,Other,2,500-999,Public Sector,2,154,1.0
5795,4165,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,Humanities,>20,1000-4999,Public Sector,2,83,0.0
6801,13631,city_102,0.804,,Has relevent experience,Part time course,Graduate,STEM,7,10/49,Funded Startup,3,146,0.0
5027,13312,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,1,9,1.0
14041,5958,city_71,0.884,,Has relevent experience,no_enrollment,Masters,Humanities,2,5000-9999,Pvt Ltd,1,26,0.0
15992,21629,city_10,0.895,,Has relevent experience,Full time course,Graduate,STEM,2,10000+,Pvt Ltd,1,122,0.0
1717,9264,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,4,17,0.0
11167,12173,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,23,0.0
3569,12679,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,>4,57,0.0
10665,10601,city_104,0.924,Male,No relevent experience,no_enrollment,Masters,STEM,>20,100-500,Public Sector,4,92,0.0
11155,25261,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,4,112,0.0
7674,4824,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,17,<10,Pvt Ltd,2,41,0.0
10287,18624,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,10,5000-9999,Pvt Ltd,1,286,1.0
17609,30297,city_114,0.926,Male,No relevent experience,,High School,,3,,,1,49,0.0
11009,29677,city_75,0.939,Male,Has relevent experience,no_enrollment,High School,,18,1000-4999,Pvt Ltd,1,196,0.0
17771,13847,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,7,10/49,Pvt Ltd,>4,96,0.0
18168,20801,city_21,0.624,Male,No relevent experience,no_enrollment,High School,,4,,,never,70,0.0
13018,2330,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,,Pvt Ltd,1,35,0.0
10695,14633,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,1,37,0.0
8971,13192,city_12,0.64,,No relevent experience,no_enrollment,High School,,<1,,,1,165,1.0
6742,77,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,78,1.0
6194,54,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,8,100-500,NGO,1,34,0.0
4094,21716,city_103,0.92,Male,No relevent experience,Part time course,Masters,STEM,9,10000+,Pvt Ltd,never,182,0.0
7455,13894,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,>4,176,0.0
16650,17339,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,never,62,1.0
10279,26472,city_114,0.926,,Has relevent experience,Full time course,Masters,STEM,12,100-500,Pvt Ltd,2,91,0.0
4200,6042,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,1000-4999,NGO,>4,83,0.0
13352,12593,city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,Other,4,100-500,Pvt Ltd,3,113,0.0
12943,31224,city_99,0.915,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,58,0.0
18232,27293,city_75,0.939,Male,Has relevent experience,no_enrollment,Primary School,,13,<10,Funded Startup,4,32,1.0
13257,29044,city_103,0.92,,Has relevent experience,no_enrollment,High School,,3,50-99,Pvt Ltd,1,36,0.0
12948,19267,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,15,,,1,116,1.0
10138,25201,city_10,0.895,Male,No relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,2,73,0.0
18708,9235,city_21,0.624,Male,No relevent experience,,Graduate,STEM,3,,,1,42,0.0
13085,2882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,,>4,4,0.0
2523,18056,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,276,0.0
16088,5600,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,4,111,1.0
650,33104,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,3,28,0.0
5694,18269,city_143,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,3,0.0
14833,20202,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,1,72,0.0
12485,1862,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Early Stage Startup,1,122,0.0
14115,24988,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,122,1.0
3884,4458,city_123,0.738,,No relevent experience,,Graduate,STEM,1,,Pvt Ltd,never,110,0.0
7733,18627,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,Humanities,3,<10,Pvt Ltd,1,28,0.0
9251,18567,city_28,0.939,Male,No relevent experience,Full time course,High School,,3,10000+,Pvt Ltd,1,41,0.0
2564,22649,city_16,0.91,,No relevent experience,no_enrollment,High School,,<1,,,never,143,0.0
3370,9969,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,12,,,1,1,1.0
13314,9064,city_105,0.794,,Has relevent experience,no_enrollment,Masters,Humanities,>20,10000+,Pvt Ltd,>4,17,0.0
5645,10751,city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,324,0.0
18190,20968,city_136,0.897,,No relevent experience,Full time course,High School,,<1,,,never,40,0.0
6629,7472,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,10,500-999,Public Sector,1,178,0.0
3811,22387,city_70,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,,3,184,1.0
7986,20230,city_40,0.7759999999999999,,Has relevent experience,Full time course,Masters,STEM,15,100-500,Funded Startup,2,39,0.0
1033,14171,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,1,97,1.0
16702,15873,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,,>20,10/49,Pvt Ltd,4,34,0.0
17518,24321,city_102,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,7,10000+,Public Sector,1,92,0.0
3075,6259,city_45,0.89,Male,Has relevent experience,,Masters,STEM,15,50-99,Pvt Ltd,>4,26,0.0
2053,27355,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,6,,,2,18,0.0
17094,13137,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,2,10000+,NGO,1,56,0.0
4809,22868,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1000-4999,Pvt Ltd,>4,72,0.0
4316,16620,city_24,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,>4,32,1.0
10715,13897,city_103,0.92,Male,No relevent experience,Full time course,High School,,5,10/49,Public Sector,1,17,1.0
4779,5013,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,No Major,5,50-99,,1,288,0.0
9553,7561,city_75,0.939,,No relevent experience,no_enrollment,Primary School,,3,,,never,70,0.0
17211,3554,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,2,28,0.0
9362,21264,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,,Pvt Ltd,>4,10,0.0
13992,17571,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,68,0.0
16119,21599,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,1,47,0.0
7961,7003,city_144,0.84,,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Public Sector,1,78,1.0
400,5673,city_45,0.89,Male,No relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,51,0.0
4372,5679,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,Pvt Ltd,3,248,1.0
9758,23661,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,5,,,>4,31,1.0
8604,1649,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,>4,91,1.0
14921,20166,city_103,0.92,,Has relevent experience,Part time course,Graduate,STEM,7,50-99,,>4,54,0.0
16590,16027,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,12,10000+,Pvt Ltd,2,80,0.0
13242,22132,city_134,0.698,,Has relevent experience,,Graduate,STEM,14,1000-4999,Pvt Ltd,>4,88,0.0
9836,11998,city_128,0.527,,Has relevent experience,no_enrollment,Masters,STEM,9,,,never,29,1.0
16475,18237,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,25,0.0
7977,6047,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,4,100-500,Pvt Ltd,2,76,0.0
9558,11943,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,2,18,1.0
13185,25822,city_10,0.895,Other,No relevent experience,Full time course,Graduate,STEM,5,,,1,20,1.0
5668,22633,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,,,1,22,0.0
11291,17322,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,4,176,0.0
3349,14820,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,3,112,0.0
14990,12841,city_16,0.91,Female,Has relevent experience,Full time course,Graduate,STEM,5,1000-4999,Public Sector,1,114,0.0
4964,7099,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,282,0.0
11677,32687,city_42,0.563,,Has relevent experience,Full time course,Phd,STEM,<1,,,,43,1.0
4099,884,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,5,,Public Sector,1,101,0.0
1466,10730,city_16,0.91,Male,No relevent experience,Full time course,High School,,2,,,never,16,0.0
14782,8181,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,34,0.0
1083,15213,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,94,1.0
16875,31946,city_11,0.55,Female,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,never,51,0.0
13063,22362,city_21,0.624,Male,No relevent experience,Full time course,Primary School,,7,,,never,18,0.0
5121,4096,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,3,124,0.0
10932,8274,city_105,0.794,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Public Sector,3,52,0.0
733,32862,city_21,0.624,Male,No relevent experience,no_enrollment,High School,,4,,,1,28,1.0
